League;Date;Get;Pay;Value;Confidence
Delirium;2020-03-13;Orb of Alchemy;Chaos Orb;0.5;High
Delirium;2020-03-14;Orb of Alchemy;Chaos Orb;0.25;High
Delirium;2020-03-15;Orb of Alchemy;Chaos Orb;0.33333;High
Delirium;2020-03-16;Orb of Alchemy;Chaos Orb;0.47918;High
Delirium;2020-03-17;Orb of Alchemy;Chaos Orb;0.5;High
Delirium;2020-03-18;Orb of Alchemy;Chaos Orb;0.5;High
Delirium;2020-03-19;Orb of Alchemy;Chaos Orb;0.4918;High
Delirium;2020-03-20;Orb of Alchemy;Chaos Orb;0.45833;High
Delirium;2020-03-21;Orb of Alchemy;Chaos Orb;0.40816;High
Delirium;2020-03-22;Orb of Alchemy;Chaos Orb;0.35714;High
Delirium;2020-03-23;Orb of Alchemy;Chaos Orb;0.31579;High
Delirium;2020-03-24;Orb of Alchemy;Chaos Orb;0.29655;High
Delirium;2020-03-25;Orb of Alchemy;Chaos Orb;0.26395;High
Delirium;2020-03-26;Orb of Alchemy;Chaos Orb;0.24668;High
Delirium;2020-03-27;Orb of Alchemy;Chaos Orb;0.25;High
Delirium;2020-03-28;Orb of Alchemy;Chaos Orb;0.23529;High
Delirium;2020-03-29;Orb of Alchemy;Chaos Orb;0.22861;High
Delirium;2020-03-30;Orb of Alchemy;Chaos Orb;0.21991;High
Delirium;2020-03-31;Orb of Alchemy;Chaos Orb;0.19504;High
Delirium;2020-04-01;Orb of Alchemy;Chaos Orb;0.19048;High
Delirium;2020-04-02;Orb of Alchemy;Chaos Orb;0.19967;High
Delirium;2020-04-03;Orb of Alchemy;Chaos Orb;0.2;High
Delirium;2020-04-04;Orb of Alchemy;Chaos Orb;0.18878;High
Delirium;2020-04-05;Orb of Alchemy;Chaos Orb;0.18868;High
Delirium;2020-04-06;Orb of Alchemy;Chaos Orb;0.18868;High
Delirium;2020-04-07;Orb of Alchemy;Chaos Orb;0.18444;High
Delirium;2020-04-08;Orb of Alchemy;Chaos Orb;0.18182;High
Delirium;2020-04-09;Orb of Alchemy;Chaos Orb;0.17857;High
Delirium;2020-04-15;Orb of Alchemy;Chaos Orb;0.25474;High
Delirium;2020-04-16;Orb of Alchemy;Chaos Orb;0.16333;High
Delirium;2020-04-17;Orb of Alchemy;Chaos Orb;0.16321;High
Delirium;2020-04-18;Orb of Alchemy;Chaos Orb;0.15231;High
Delirium;2020-04-19;Orb of Alchemy;Chaos Orb;0.15064;High
Delirium;2020-04-20;Orb of Alchemy;Chaos Orb;0.14286;High
Delirium;2020-04-21;Orb of Alchemy;Chaos Orb;0.13876;High
Delirium;2020-04-22;Orb of Alchemy;Chaos Orb;0.13803;High
Delirium;2020-04-23;Orb of Alchemy;Chaos Orb;0.14152;High
Delirium;2020-04-24;Orb of Alchemy;Chaos Orb;0.13333;High
Delirium;2020-04-25;Orb of Alchemy;Chaos Orb;0.13329;High
Delirium;2020-04-26;Orb of Alchemy;Chaos Orb;0.13333;High
Delirium;2020-04-27;Orb of Alchemy;Chaos Orb;0.1314;High
Delirium;2020-04-28;Orb of Alchemy;Chaos Orb;0.12576;High
Delirium;2020-04-29;Orb of Alchemy;Chaos Orb;0.13333;High
Delirium;2020-04-30;Orb of Alchemy;Chaos Orb;0.1402;High
Delirium;2020-05-01;Orb of Alchemy;Chaos Orb;0.1418;High
Delirium;2020-05-02;Orb of Alchemy;Chaos Orb;0.14054;High
