League;Date;Get;Pay;Value;Confidence
Harvest;2020-06-19;Chromatic Orb;Chaos Orb;0.08716;High
Harvest;2020-06-20;Chromatic Orb;Chaos Orb;0.0524;High
Harvest;2020-06-21;Chromatic Orb;Chaos Orb;0.04762;High
Harvest;2020-06-22;Chromatic Orb;Chaos Orb;0.07143;High
Harvest;2020-06-23;Chromatic Orb;Chaos Orb;0.06667;High
Harvest;2020-06-24;Chromatic Orb;Chaos Orb;0.05817;High
Harvest;2020-06-25;Chromatic Orb;Chaos Orb;0.05118;High
Harvest;2020-06-26;Chromatic Orb;Chaos Orb;0.04997;High
Harvest;2020-06-27;Chromatic Orb;Chaos Orb;0.04759;High
Harvest;2020-06-28;Chromatic Orb;Chaos Orb;0.05556;High
Harvest;2020-06-29;Chromatic Orb;Chaos Orb;0.05556;High
Harvest;2020-06-30;Chromatic Orb;Chaos Orb;0.05833;High
Harvest;2020-07-01;Chromatic Orb;Chaos Orb;0.05987;High
Harvest;2020-07-02;Chromatic Orb;Chaos Orb;0.06368;High
Harvest;2020-07-03;Chromatic Orb;Chaos Orb;0.08493;High
Harvest;2020-07-04;Chromatic Orb;Chaos Orb;0.08688;High
Harvest;2020-07-05;Chromatic Orb;Chaos Orb;0.0818;High
Harvest;2020-07-06;Chromatic Orb;Chaos Orb;0.08333;High
Harvest;2020-07-07;Chromatic Orb;Chaos Orb;0.10522;High
Harvest;2020-07-08;Chromatic Orb;Chaos Orb;0.11111;High
Harvest;2020-07-09;Chromatic Orb;Chaos Orb;0.11483;High
Harvest;2020-07-10;Chromatic Orb;Chaos Orb;0.12404;High
Harvest;2020-07-11;Chromatic Orb;Chaos Orb;0.1173;High
Harvest;2020-07-12;Chromatic Orb;Chaos Orb;0.09072;High
Harvest;2020-07-13;Chromatic Orb;Chaos Orb;0.06052;High
Harvest;2020-07-14;Chromatic Orb;Chaos Orb;0.06026;High
Harvest;2020-07-15;Chromatic Orb;Chaos Orb;0.08326;High
Harvest;2020-07-16;Chromatic Orb;Chaos Orb;0.09891;High
Harvest;2020-07-17;Chromatic Orb;Chaos Orb;0.15179;High
Harvest;2020-07-18;Chromatic Orb;Chaos Orb;0.16446;High
Harvest;2020-07-19;Chromatic Orb;Chaos Orb;0.16312;High
Harvest;2020-07-20;Chromatic Orb;Chaos Orb;0.12513;High
Harvest;2020-07-21;Chromatic Orb;Chaos Orb;0.11029;High
