League;Date;Get;Pay;Value;Confidence
Heist;2020-09-18;Jeweller's Orb;Chaos Orb;1;High
Heist;2020-09-19;Jeweller's Orb;Chaos Orb;0.05882;High
Heist;2020-09-20;Jeweller's Orb;Chaos Orb;0.06667;High
Heist;2020-09-21;Jeweller's Orb;Chaos Orb;0.08333;High
Heist;2020-09-22;Jeweller's Orb;Chaos Orb;0.09773;High
Heist;2020-09-23;Jeweller's Orb;Chaos Orb;0.10562;High
Heist;2020-09-24;Jeweller's Orb;Chaos Orb;0.10501;High
Heist;2020-09-25;Jeweller's Orb;Chaos Orb;0.1018;High
Heist;2020-09-26;Jeweller's Orb;Chaos Orb;0.1;High
Heist;2020-09-27;Jeweller's Orb;Chaos Orb;0.09091;High
Heist;2020-09-28;Jeweller's Orb;Chaos Orb;0.08333;High
Heist;2020-09-29;Jeweller's Orb;Chaos Orb;0.09091;High
Heist;2020-09-30;Jeweller's Orb;Chaos Orb;0.09009;High
Heist;2020-10-01;Jeweller's Orb;Chaos Orb;0.08353;High
Heist;2020-10-02;Jeweller's Orb;Chaos Orb;0.08296;High
Heist;2020-10-03;Jeweller's Orb;Chaos Orb;0.07033;High
Heist;2020-10-04;Jeweller's Orb;Chaos Orb;0.06571;High
Heist;2020-10-05;Jeweller's Orb;Chaos Orb;0.06658;High
Heist;2020-10-06;Jeweller's Orb;Chaos Orb;0.06667;High
Heist;2020-10-07;Jeweller's Orb;Chaos Orb;0.06667;High
Heist;2020-10-08;Jeweller's Orb;Chaos Orb;0.06663;High
Heist;2020-10-09;Jeweller's Orb;Chaos Orb;0.06622;High
Heist;2020-10-10;Jeweller's Orb;Chaos Orb;0.06301;High
Heist;2020-10-11;Jeweller's Orb;Chaos Orb;0.06436;High
Heist;2020-10-12;Jeweller's Orb;Chaos Orb;0.06667;High
Heist;2020-10-13;Jeweller's Orb;Chaos Orb;0.06604;High
Heist;2020-10-14;Jeweller's Orb;Chaos Orb;0.06628;High
Heist;2020-10-15;Jeweller's Orb;Chaos Orb;0.06662;High
Heist;2020-10-16;Jeweller's Orb;Chaos Orb;0.06452;High
Heist;2020-10-17;Jeweller's Orb;Chaos Orb;0.06363;High
Heist;2020-10-18;Jeweller's Orb;Chaos Orb;0.06455;High
Heist;2020-10-19;Jeweller's Orb;Chaos Orb;0.06632;High
Heist;2020-10-20;Jeweller's Orb;Chaos Orb;0.06494;High
Heist;2020-10-21;Jeweller's Orb;Chaos Orb;0.05633;High
Heist;2020-10-22;Jeweller's Orb;Chaos Orb;0.05263;High
Heist;2020-10-23;Jeweller's Orb;Chaos Orb;0.04299;High
Heist;2020-10-24;Jeweller's Orb;Chaos Orb;0.04278;High
Heist;2020-10-25;Jeweller's Orb;Chaos Orb;0.04578;High
Heist;2020-10-26;Jeweller's Orb;Chaos Orb;0.04997;High
Heist;2020-10-27;Jeweller's Orb;Chaos Orb;0.05263;High
Heist;2020-10-28;Jeweller's Orb;Chaos Orb;0.05556;High
Heist;2020-10-29;Jeweller's Orb;Chaos Orb;0.05818;High
Heist;2020-10-30;Jeweller's Orb;Chaos Orb;0.06666;High
Heist;2020-10-31;Jeweller's Orb;Chaos Orb;0.06667;High
Heist;2020-11-01;Jeweller's Orb;Chaos Orb;0.06667;High
Heist;2020-11-02;Jeweller's Orb;Chaos Orb;0.06667;High
Heist;2020-11-03;Jeweller's Orb;Chaos Orb;0.06694;High
Heist;2020-11-04;Jeweller's Orb;Chaos Orb;0.06925;High
Heist;2020-11-05;Jeweller's Orb;Chaos Orb;0.07143;High
Heist;2020-11-06;Jeweller's Orb;Chaos Orb;0.07143;High
Heist;2020-11-07;Jeweller's Orb;Chaos Orb;0.07672;High
Heist;2020-11-08;Jeweller's Orb;Chaos Orb;0.07692;High
Heist;2020-11-09;Jeweller's Orb;Chaos Orb;0.07778;High
Heist;2020-11-10;Jeweller's Orb;Chaos Orb;0.07865;High
Heist;2020-11-11;Jeweller's Orb;Chaos Orb;0.07858;High
Heist;2020-11-12;Jeweller's Orb;Chaos Orb;0.08328;High
Heist;2020-11-13;Jeweller's Orb;Chaos Orb;0.08264;High
Heist;2020-11-14;Jeweller's Orb;Chaos Orb;0.08132;High
Heist;2020-11-15;Jeweller's Orb;Chaos Orb;0.07692;High
Heist;2020-11-16;Jeweller's Orb;Chaos Orb;0.07905;High
Heist;2020-11-17;Jeweller's Orb;Chaos Orb;0.08324;High
Heist;2020-11-18;Jeweller's Orb;Chaos Orb;0.08333;High
Heist;2020-11-19;Jeweller's Orb;Chaos Orb;0.08333;High
Heist;2020-11-20;Jeweller's Orb;Chaos Orb;0.08333;High
Heist;2020-11-21;Jeweller's Orb;Chaos Orb;0.08333;High
Heist;2020-11-22;Jeweller's Orb;Chaos Orb;0.08333;High
Heist;2020-11-23;Jeweller's Orb;Chaos Orb;0.08333;High
Heist;2020-11-24;Jeweller's Orb;Chaos Orb;0.08333;High
Heist;2020-11-25;Jeweller's Orb;Chaos Orb;0.08333;High
Heist;2020-11-26;Jeweller's Orb;Chaos Orb;0.08333;High
Heist;2020-11-27;Jeweller's Orb;Chaos Orb;0.08333;High
Heist;2020-11-28;Jeweller's Orb;Chaos Orb;0.08333;High
Heist;2020-11-29;Jeweller's Orb;Chaos Orb;0.08333;High
Heist;2020-11-30;Jeweller's Orb;Chaos Orb;0.08333;High
Heist;2020-12-01;Jeweller's Orb;Chaos Orb;0.08333;High
Heist;2020-12-02;Jeweller's Orb;Chaos Orb;0.08333;High
Heist;2020-12-03;Jeweller's Orb;Chaos Orb;0.08332;High
Heist;2020-12-04;Jeweller's Orb;Chaos Orb;0.08333;High
Heist;2020-12-05;Jeweller's Orb;Chaos Orb;0.08333;High
Heist;2020-12-06;Jeweller's Orb;Chaos Orb;0.08333;High
Heist;2020-12-07;Jeweller's Orb;Chaos Orb;0.08333;High
Heist;2020-12-08;Jeweller's Orb;Chaos Orb;0.08333;High
Heist;2020-12-09;Jeweller's Orb;Chaos Orb;0.08333;High
Heist;2020-12-10;Jeweller's Orb;Chaos Orb;0.08319;High
Heist;2020-12-11;Jeweller's Orb;Chaos Orb;0.08319;High
Heist;2020-12-12;Jeweller's Orb;Chaos Orb;0.08333;High
Heist;2020-12-13;Jeweller's Orb;Chaos Orb;0.08333;High
Heist;2020-12-14;Jeweller's Orb;Chaos Orb;0.08333;High
Heist;2020-12-15;Jeweller's Orb;Chaos Orb;0.08333;High
Heist;2020-12-16;Jeweller's Orb;Chaos Orb;0.08333;High
Heist;2020-12-17;Jeweller's Orb;Chaos Orb;0.08333;High
Heist;2020-12-18;Jeweller's Orb;Chaos Orb;0.08333;High
Heist;2020-12-19;Jeweller's Orb;Chaos Orb;0.08333;High
Heist;2020-12-20;Jeweller's Orb;Chaos Orb;0.08333;High
Heist;2020-12-21;Jeweller's Orb;Chaos Orb;0.08333;High
Heist;2020-12-22;Jeweller's Orb;Chaos Orb;0.08603;High
Heist;2020-12-23;Jeweller's Orb;Chaos Orb;0.08333;High
Heist;2020-12-24;Jeweller's Orb;Chaos Orb;0.08333;High
Heist;2020-12-25;Jeweller's Orb;Chaos Orb;0.08559;High
Heist;2020-12-26;Jeweller's Orb;Chaos Orb;0.08333;High
Heist;2020-12-27;Jeweller's Orb;Chaos Orb;0.08943;High
Heist;2020-12-28;Jeweller's Orb;Chaos Orb;0.0955;High
Heist;2020-12-29;Jeweller's Orb;Chaos Orb;0.09841;High
Heist;2020-12-30;Jeweller's Orb;Chaos Orb;0.09152;High
Heist;2020-12-31;Jeweller's Orb;Chaos Orb;0.09091;High
Heist;2021-01-01;Jeweller's Orb;Chaos Orb;0.09091;High
Heist;2021-01-02;Jeweller's Orb;Chaos Orb;0.09091;High
Heist;2021-01-03;Jeweller's Orb;Chaos Orb;0.09259;High
