League;Date;Get;Pay;Value;Confidence
Metamorph;2019-12-13;Chromatic Orb;Chaos Orb;0.12211;High
Metamorph;2019-12-14;Chromatic Orb;Chaos Orb;0.07119;High
Metamorph;2019-12-15;Chromatic Orb;Chaos Orb;0.11111;High
Metamorph;2019-12-16;Chromatic Orb;Chaos Orb;0.11765;High
Metamorph;2019-12-17;Chromatic Orb;Chaos Orb;0.10989;High
Metamorph;2019-12-18;Chromatic Orb;Chaos Orb;0.13222;High
Metamorph;2019-12-19;Chromatic Orb;Chaos Orb;0.12331;High
Metamorph;2019-12-20;Chromatic Orb;Chaos Orb;0.13444;High
Metamorph;2019-12-21;Chromatic Orb;Chaos Orb;0.15;High
Metamorph;2019-12-22;Chromatic Orb;Chaos Orb;0.14698;High
Metamorph;2019-12-23;Chromatic Orb;Chaos Orb;0.14085;High
Metamorph;2019-12-24;Chromatic Orb;Chaos Orb;0.14286;High
Metamorph;2019-12-25;Chromatic Orb;Chaos Orb;0.14286;High
Metamorph;2019-12-26;Chromatic Orb;Chaos Orb;0.1387;High
Metamorph;2019-12-27;Chromatic Orb;Chaos Orb;0.12779;High
Metamorph;2019-12-28;Chromatic Orb;Chaos Orb;0.12727;High
Metamorph;2019-12-29;Chromatic Orb;Chaos Orb;0.13636;High
Metamorph;2019-12-30;Chromatic Orb;Chaos Orb;0.14281;High
Metamorph;2019-12-31;Chromatic Orb;Chaos Orb;0.15;High
Metamorph;2020-01-01;Chromatic Orb;Chaos Orb;0.15873;High
Metamorph;2020-01-02;Chromatic Orb;Chaos Orb;0.15762;High
Metamorph;2020-01-03;Chromatic Orb;Chaos Orb;0.1453;High
Metamorph;2020-01-04;Chromatic Orb;Chaos Orb;0.13889;High
Metamorph;2020-01-05;Chromatic Orb;Chaos Orb;0.14286;High
Metamorph;2020-01-06;Chromatic Orb;Chaos Orb;0.14085;High
Metamorph;2020-01-07;Chromatic Orb;Chaos Orb;0.13684;High
Metamorph;2020-01-08;Chromatic Orb;Chaos Orb;0.13248;High
Metamorph;2020-01-09;Chromatic Orb;Chaos Orb;0.12821;High
Metamorph;2020-01-10;Chromatic Orb;Chaos Orb;0.125;High
Metamorph;2020-01-11;Chromatic Orb;Chaos Orb;0.12195;High
Metamorph;2020-01-12;Chromatic Orb;Chaos Orb;0.11111;High
Metamorph;2020-01-13;Chromatic Orb;Chaos Orb;0.10862;High
Metamorph;2020-01-14;Chromatic Orb;Chaos Orb;0.09496;High
Metamorph;2020-01-15;Chromatic Orb;Chaos Orb;0.09709;High
Metamorph;2020-01-16;Chromatic Orb;Chaos Orb;0.09174;High
Metamorph;2020-01-17;Chromatic Orb;Chaos Orb;0.09756;High
Metamorph;2020-01-18;Chromatic Orb;Chaos Orb;0.10714;High
Metamorph;2020-01-19;Chromatic Orb;Chaos Orb;0.1087;High
Metamorph;2020-01-20;Chromatic Orb;Chaos Orb;0.10849;High
Metamorph;2020-01-21;Chromatic Orb;Chaos Orb;0.1087;High
Metamorph;2020-01-22;Chromatic Orb;Chaos Orb;0.11111;High
Metamorph;2020-01-23;Chromatic Orb;Chaos Orb;0.11661;High
Metamorph;2020-01-24;Chromatic Orb;Chaos Orb;0.13333;High
Metamorph;2020-01-25;Chromatic Orb;Chaos Orb;0.16943;High
Metamorph;2020-01-26;Chromatic Orb;Chaos Orb;0.16667;High
Metamorph;2020-01-27;Chromatic Orb;Chaos Orb;0.14669;High
Metamorph;2020-01-28;Chromatic Orb;Chaos Orb;0.13762;High
Metamorph;2020-01-29;Chromatic Orb;Chaos Orb;0.13697;High
Metamorph;2020-01-30;Chromatic Orb;Chaos Orb;0.12821;High
Metamorph;2020-01-31;Chromatic Orb;Chaos Orb;0.12142;High
Metamorph;2020-02-01;Chromatic Orb;Chaos Orb;0.12148;High
Metamorph;2020-02-02;Chromatic Orb;Chaos Orb;0.12374;High
Metamorph;2020-02-03;Chromatic Orb;Chaos Orb;0.11392;High
Metamorph;2020-02-04;Chromatic Orb;Chaos Orb;0.10833;High
Metamorph;2020-02-05;Chromatic Orb;Chaos Orb;0.12572;High
Metamorph;2020-02-06;Chromatic Orb;Chaos Orb;0.13581;High
Metamorph;2020-02-07;Chromatic Orb;Chaos Orb;0.13213;High
Metamorph;2020-02-08;Chromatic Orb;Chaos Orb;0.12488;High
Metamorph;2020-02-09;Chromatic Orb;Chaos Orb;0.11882;High
Metamorph;2020-02-10;Chromatic Orb;Chaos Orb;0.10989;High
Metamorph;2020-02-11;Chromatic Orb;Chaos Orb;0.10101;High
Metamorph;2020-02-12;Chromatic Orb;Chaos Orb;0.09091;High
Metamorph;2020-02-13;Chromatic Orb;Chaos Orb;0.09244;High
Metamorph;2020-02-14;Chromatic Orb;Chaos Orb;0.11905;High
Metamorph;2020-02-15;Chromatic Orb;Chaos Orb;0.15407;High
Metamorph;2020-02-16;Chromatic Orb;Chaos Orb;0.19982;High
Metamorph;2020-02-17;Chromatic Orb;Chaos Orb;0.19702;High
Metamorph;2020-02-18;Chromatic Orb;Chaos Orb;0.2;High
Metamorph;2020-02-19;Chromatic Orb;Chaos Orb;0.19183;High
Metamorph;2020-02-20;Chromatic Orb;Chaos Orb;0.16667;High
Metamorph;2020-02-21;Chromatic Orb;Chaos Orb;0.15873;High
Metamorph;2020-02-22;Chromatic Orb;Chaos Orb;0.16574;High
Metamorph;2020-02-23;Chromatic Orb;Chaos Orb;0.15811;High
Metamorph;2020-02-24;Chromatic Orb;Chaos Orb;0.15823;High
Metamorph;2020-02-25;Chromatic Orb;Chaos Orb;0.15385;High
Metamorph;2020-02-26;Chromatic Orb;Chaos Orb;0.15846;High
Metamorph;2020-02-27;Chromatic Orb;Chaos Orb;0.1641;High
Metamorph;2020-02-28;Chromatic Orb;Chaos Orb;0.14493;High
Metamorph;2020-02-29;Chromatic Orb;Chaos Orb;0.13514;High
