League;Date;Get;Pay;Value;Confidence
Ritual;2021-01-15;Orb of Alteration;Chaos Orb;0.08783;High
Ritual;2021-01-16;Orb of Alteration;Chaos Orb;0.06667;High
Ritual;2021-01-17;Orb of Alteration;Chaos Orb;0.07997;High
Ritual;2021-01-18;Orb of Alteration;Chaos Orb;0.13562;High
Ritual;2021-01-19;Orb of Alteration;Chaos Orb;0.16667;High
Ritual;2021-01-20;Orb of Alteration;Chaos Orb;0.13082;High
Ritual;2021-01-21;Orb of Alteration;Chaos Orb;0.14286;High
Ritual;2021-01-22;Orb of Alteration;Chaos Orb;0.23942;High
Ritual;2021-01-23;Orb of Alteration;Chaos Orb;0.26316;High
Ritual;2021-01-24;Orb of Alteration;Chaos Orb;0.26316;High
Ritual;2021-01-25;Orb of Alteration;Chaos Orb;0.25643;High
Ritual;2021-01-26;Orb of Alteration;Chaos Orb;0.26068;High
Ritual;2021-01-27;Orb of Alteration;Chaos Orb;0.26316;High
Ritual;2021-01-28;Orb of Alteration;Chaos Orb;0.26249;High
Ritual;2021-01-29;Orb of Alteration;Chaos Orb;0.27254;High
Ritual;2021-01-30;Orb of Alteration;Chaos Orb;0.27026;High
Ritual;2021-01-31;Orb of Alteration;Chaos Orb;0.26985;High
Ritual;2021-02-01;Orb of Alteration;Chaos Orb;0.27778;High
Ritual;2021-02-02;Orb of Alteration;Chaos Orb;0.27778;High
Ritual;2021-02-03;Orb of Alteration;Chaos Orb;0.28571;High
Ritual;2021-02-04;Orb of Alteration;Chaos Orb;0.28571;High
Ritual;2021-02-05;Orb of Alteration;Chaos Orb;0.28571;High
Ritual;2021-02-06;Orb of Alteration;Chaos Orb;0.29289;High
Ritual;2021-02-07;Orb of Alteration;Chaos Orb;0.28571;High
Ritual;2021-02-08;Orb of Alteration;Chaos Orb;0.2909;High
Ritual;2021-02-09;Orb of Alteration;Chaos Orb;0.29803;High
Ritual;2021-02-10;Orb of Alteration;Chaos Orb;0.3312;High
Ritual;2021-02-11;Orb of Alteration;Chaos Orb;0.33188;High
Ritual;2021-02-12;Orb of Alteration;Chaos Orb;0.33313;High
Ritual;2021-02-13;Orb of Alteration;Chaos Orb;0.33333;High
Ritual;2021-02-14;Orb of Alteration;Chaos Orb;0.33333;High
Ritual;2021-02-15;Orb of Alteration;Chaos Orb;0.33333;High
Ritual;2021-02-16;Orb of Alteration;Chaos Orb;0.33333;High
Ritual;2021-02-17;Orb of Alteration;Chaos Orb;0.33333;High
Ritual;2021-02-18;Orb of Alteration;Chaos Orb;0.33333;High
Ritual;2021-02-19;Orb of Alteration;Chaos Orb;0.33333;High
Ritual;2021-02-20;Orb of Alteration;Chaos Orb;0.33333;High
Ritual;2021-02-21;Orb of Alteration;Chaos Orb;0.33333;High
Ritual;2021-02-22;Orb of Alteration;Chaos Orb;0.35165;High
Ritual;2021-02-23;Orb of Alteration;Chaos Orb;0.34878;High
Ritual;2021-02-24;Orb of Alteration;Chaos Orb;0.35714;High
Ritual;2021-02-25;Orb of Alteration;Chaos Orb;0.37037;High
Ritual;2021-02-26;Orb of Alteration;Chaos Orb;0.37178;High
Ritual;2021-02-27;Orb of Alteration;Chaos Orb;0.37037;High
Ritual;2021-02-28;Orb of Alteration;Chaos Orb;0.36764;High
Ritual;2021-03-01;Orb of Alteration;Chaos Orb;0.36449;High
Ritual;2021-03-02;Orb of Alteration;Chaos Orb;0.364;High
Ritual;2021-03-03;Orb of Alteration;Chaos Orb;0.36214;High
Ritual;2021-03-04;Orb of Alteration;Chaos Orb;0.35738;High
Ritual;2021-03-05;Orb of Alteration;Chaos Orb;0.35853;High
Ritual;2021-03-06;Orb of Alteration;Chaos Orb;0.35714;High
Ritual;2021-03-07;Orb of Alteration;Chaos Orb;0.35377;High
Ritual;2021-03-08;Orb of Alteration;Chaos Orb;0.34491;High
Ritual;2021-03-09;Orb of Alteration;Chaos Orb;0.33505;High
Ritual;2021-03-10;Orb of Alteration;Chaos Orb;0.32785;High
Ritual;2021-03-11;Orb of Alteration;Chaos Orb;0.3177;High
Ritual;2021-03-12;Orb of Alteration;Chaos Orb;0.30329;High
Ritual;2021-03-13;Orb of Alteration;Chaos Orb;0.29048;High
Ritual;2021-03-14;Orb of Alteration;Chaos Orb;0.26889;High
Ritual;2021-03-15;Orb of Alteration;Chaos Orb;0.26123;High
Ritual;2021-03-16;Orb of Alteration;Chaos Orb;0.26112;High
Ritual;2021-03-17;Orb of Alteration;Chaos Orb;0.26112;High
Ritual;2021-03-18;Orb of Alteration;Chaos Orb;0.26011;High
Ritual;2021-03-19;Orb of Alteration;Chaos Orb;0.25869;High
Ritual;2021-03-20;Orb of Alteration;Chaos Orb;0.25806;High
Ritual;2021-03-21;Orb of Alteration;Chaos Orb;0.25397;High
Ritual;2021-03-22;Orb of Alteration;Chaos Orb;0.25149;High
Ritual;2021-03-23;Orb of Alteration;Chaos Orb;0.25148;High
Ritual;2021-03-24;Orb of Alteration;Chaos Orb;0.25194;High
Ritual;2021-03-25;Orb of Alteration;Chaos Orb;0.24888;High
Ritual;2021-03-26;Orb of Alteration;Chaos Orb;0.24693;High
Ritual;2021-03-27;Orb of Alteration;Chaos Orb;0.24276;High
Ritual;2021-03-28;Orb of Alteration;Chaos Orb;0.24276;High
Ritual;2021-03-29;Orb of Alteration;Chaos Orb;0.24071;High
Ritual;2021-03-30;Orb of Alteration;Chaos Orb;0.23888;High
Ritual;2021-03-31;Orb of Alteration;Chaos Orb;0.23841;High
Ritual;2021-04-01;Orb of Alteration;Chaos Orb;0.23807;High
Ritual;2021-04-02;Orb of Alteration;Chaos Orb;0.2381;High
Ritual;2021-04-03;Orb of Alteration;Chaos Orb;0.2378;High
Ritual;2021-04-04;Orb of Alteration;Chaos Orb;0.23958;High
Ritual;2021-04-05;Orb of Alteration;Chaos Orb;0.23827;High
Ritual;2021-04-06;Orb of Alteration;Chaos Orb;0.24004;High
Ritual;2021-04-07;Orb of Alteration;Chaos Orb;0.23999;High
Ritual;2021-04-08;Orb of Alteration;Chaos Orb;0.24209;High
Ritual;2021-04-09;Orb of Alteration;Chaos Orb;0.24325;High
Ritual;2021-04-10;Orb of Alteration;Chaos Orb;0.24384;High
Ritual;2021-04-11;Orb of Alteration;Chaos Orb;0.2439;High
Ritual;2021-04-12;Orb of Alteration;Chaos Orb;0.2439;High
Ritual;2021-01-15;Armourer's Scrap;Chaos Orb;0.11299;High
Ritual;2021-01-16;Armourer's Scrap;Chaos Orb;0.04158;High
Ritual;2021-01-17;Armourer's Scrap;Chaos Orb;0.04348;High
Ritual;2021-01-18;Armourer's Scrap;Chaos Orb;0.04348;High
Ritual;2021-01-19;Armourer's Scrap;Chaos Orb;0.04762;High
