League,Date,Get,Pay,Value,Confidence,daysIntoLeague
Harvest,2020-06-19,Chromatic Orb,Chaos Orb,0.08716,High,1
Harvest,2020-06-20,Chromatic Orb,Chaos Orb,0.0524,High,2
Harvest,2020-06-21,Chromatic Orb,Chaos Orb,0.04762,High,3
Harvest,2020-06-22,Chromatic Orb,Chaos Orb,0.07143,High,4
Harvest,2020-06-23,Chromatic Orb,Chaos Orb,0.06667,High,5
Harvest,2020-06-24,Chromatic Orb,Chaos Orb,0.05817,High,6
Harvest,2020-06-25,Chromatic Orb,Chaos Orb,0.05118,High,7
Harvest,2020-06-26,Chromatic Orb,Chaos Orb,0.04997,High,8
Harvest,2020-06-27,Chromatic Orb,Chaos Orb,0.04759,High,9
Harvest,2020-06-28,Chromatic Orb,Chaos Orb,0.05556,High,10
Harvest,2020-06-29,Chromatic Orb,Chaos Orb,0.05556,High,11
Harvest,2020-06-30,Chromatic Orb,Chaos Orb,0.05833,High,12
Harvest,2020-07-01,Chromatic Orb,Chaos Orb,0.05987,High,13
Harvest,2020-07-02,Chromatic Orb,Chaos Orb,0.06368,High,14
Harvest,2020-07-03,Chromatic Orb,Chaos Orb,0.08493,High,15
Harvest,2020-07-04,Chromatic Orb,Chaos Orb,0.08688,High,16
Harvest,2020-07-05,Chromatic Orb,Chaos Orb,0.0818,High,17
Harvest,2020-07-06,Chromatic Orb,Chaos Orb,0.08333,High,18
Harvest,2020-07-07,Chromatic Orb,Chaos Orb,0.10522,High,19
Harvest,2020-07-08,Chromatic Orb,Chaos Orb,0.11111,High,20
Harvest,2020-07-09,Chromatic Orb,Chaos Orb,0.11483,High,21
Harvest,2020-07-10,Chromatic Orb,Chaos Orb,0.12404,High,22
Harvest,2020-07-11,Chromatic Orb,Chaos Orb,0.1173,High,23
Harvest,2020-07-12,Chromatic Orb,Chaos Orb,0.09072,High,24
Harvest,2020-07-13,Chromatic Orb,Chaos Orb,0.06052,High,25
Harvest,2020-07-14,Chromatic Orb,Chaos Orb,0.06026,High,26
Harvest,2020-07-15,Chromatic Orb,Chaos Orb,0.08326,High,27
Harvest,2020-07-16,Chromatic Orb,Chaos Orb,0.09891,High,28
Harvest,2020-07-17,Chromatic Orb,Chaos Orb,0.15179,High,29
Harvest,2020-07-18,Chromatic Orb,Chaos Orb,0.16446,High,30
Harvest,2020-07-19,Chromatic Orb,Chaos Orb,0.16312,High,31
Harvest,2020-07-20,Chromatic Orb,Chaos Orb,0.12513,High,32
Harvest,2020-07-21,Chromatic Orb,Chaos Orb,0.11029,High,33
Harvest,2020-07-22,Chromatic Orb,Chaos Orb,0.10769,High,34
Harvest,2020-07-23,Chromatic Orb,Chaos Orb,0.11518,High,35
Harvest,2020-07-24,Chromatic Orb,Chaos Orb,0.12318,High,36
Harvest,2020-07-25,Chromatic Orb,Chaos Orb,0.092,High,37
Harvest,2020-07-26,Chromatic Orb,Chaos Orb,0.06787,High,38
Harvest,2020-07-27,Chromatic Orb,Chaos Orb,0.06667,High,39
Harvest,2020-07-28,Chromatic Orb,Chaos Orb,0.07303,High,40
Harvest,2020-07-29,Chromatic Orb,Chaos Orb,0.1,High,41
Harvest,2020-07-30,Chromatic Orb,Chaos Orb,0.11111,High,42
Harvest,2020-07-31,Chromatic Orb,Chaos Orb,0.1091,High,43
Harvest,2020-08-01,Chromatic Orb,Chaos Orb,0.075,High,44
Harvest,2020-08-02,Chromatic Orb,Chaos Orb,0.05556,High,45
Harvest,2020-08-03,Chromatic Orb,Chaos Orb,0.0625,High,46
Harvest,2020-08-04,Chromatic Orb,Chaos Orb,0.08224,High,47
Harvest,2020-08-05,Chromatic Orb,Chaos Orb,0.09991,High,48
Harvest,2020-08-06,Chromatic Orb,Chaos Orb,0.1,High,49
Harvest,2020-08-07,Chromatic Orb,Chaos Orb,0.09551,High,50
Harvest,2020-08-08,Chromatic Orb,Chaos Orb,0.0731,High,51
Harvest,2020-08-09,Chromatic Orb,Chaos Orb,0.05556,High,52
Harvest,2020-08-10,Chromatic Orb,Chaos Orb,0.07571,High,53
Harvest,2020-08-11,Chromatic Orb,Chaos Orb,0.09998,High,54
Harvest,2020-08-12,Chromatic Orb,Chaos Orb,0.09554,High,55
Harvest,2020-08-13,Chromatic Orb,Chaos Orb,0.12092,High,56
Harvest,2020-08-14,Chromatic Orb,Chaos Orb,0.12498,High,57
Harvest,2020-08-15,Chromatic Orb,Chaos Orb,0.10189,High,58
Harvest,2020-08-16,Chromatic Orb,Chaos Orb,0.11111,High,59
Harvest,2020-08-17,Chromatic Orb,Chaos Orb,0.12479,High,60
Harvest,2020-08-18,Chromatic Orb,Chaos Orb,0.14286,High,61
Harvest,2020-08-19,Chromatic Orb,Chaos Orb,0.14286,High,62
Harvest,2020-08-20,Chromatic Orb,Chaos Orb,0.14286,High,63
Harvest,2020-08-21,Chromatic Orb,Chaos Orb,0.15385,High,64
Harvest,2020-08-22,Chromatic Orb,Chaos Orb,0.15385,High,65
Harvest,2020-08-23,Chromatic Orb,Chaos Orb,0.13986,High,66
Harvest,2020-08-24,Chromatic Orb,Chaos Orb,0.13223,High,67
Harvest,2020-08-25,Chromatic Orb,Chaos Orb,0.13815,High,68
Harvest,2020-08-26,Chromatic Orb,Chaos Orb,0.125,High,69
Harvest,2020-08-27,Chromatic Orb,Chaos Orb,0.12945,High,70
Harvest,2020-08-28,Chromatic Orb,Chaos Orb,0.1107,High,71
Harvest,2020-08-29,Chromatic Orb,Chaos Orb,0.1,High,72
Harvest,2020-08-30,Chromatic Orb,Chaos Orb,0.11111,High,73
Harvest,2020-08-31,Chromatic Orb,Chaos Orb,0.12333,High,74
Harvest,2020-09-01,Chromatic Orb,Chaos Orb,0.12343,High,75
Harvest,2020-09-02,Chromatic Orb,Chaos Orb,0.13981,High,76
Harvest,2020-09-03,Chromatic Orb,Chaos Orb,0.14194,High,77
Harvest,2020-09-04,Chromatic Orb,Chaos Orb,0.1483,High,78
Harvest,2020-09-05,Chromatic Orb,Chaos Orb,0.16667,High,79
Harvest,2020-09-06,Chromatic Orb,Chaos Orb,0.16667,High,80
Harvest,2020-09-07,Chromatic Orb,Chaos Orb,0.2046,High,81
Harvest,2020-09-08,Chromatic Orb,Chaos Orb,0.21932,High,82
Harvest,2020-09-09,Chromatic Orb,Chaos Orb,0.22323,High,83
Harvest,2020-09-10,Chromatic Orb,Chaos Orb,0.21888,High,84
Harvest,2020-09-11,Chromatic Orb,Chaos Orb,0.22122,High,85
Harvest,2020-09-12,Chromatic Orb,Chaos Orb,0.22682,High,86
Harvest,2020-09-13,Chromatic Orb,Chaos Orb,0.24051,High,87
Harvest,2020-09-14,Chromatic Orb,Chaos Orb,0.2439,High,88
Harvest,2020-06-19,Orb of Fusing,Chaos Orb,0.5,High,1
Harvest,2020-06-20,Orb of Fusing,Chaos Orb,0.14964,High,2
Harvest,2020-06-21,Orb of Fusing,Chaos Orb,0.2,High,3
Harvest,2020-06-22,Orb of Fusing,Chaos Orb,0.2381,High,4
Harvest,2020-06-23,Orb of Fusing,Chaos Orb,0.26829,High,5
Harvest,2020-06-24,Orb of Fusing,Chaos Orb,0.30946,High,6
Harvest,2020-06-25,Orb of Fusing,Chaos Orb,0.31854,High,7
Harvest,2020-06-26,Orb of Fusing,Chaos Orb,0.32609,High,8
Harvest,2020-06-27,Orb of Fusing,Chaos Orb,0.33333,High,9
Harvest,2020-06-28,Orb of Fusing,Chaos Orb,0.36243,High,10
Harvest,2020-06-29,Orb of Fusing,Chaos Orb,0.38919,High,11
Harvest,2020-06-30,Orb of Fusing,Chaos Orb,0.37473,High,12
Harvest,2020-07-01,Orb of Fusing,Chaos Orb,0.375,High,13
Harvest,2020-07-02,Orb of Fusing,Chaos Orb,0.37471,High,14
Harvest,2020-07-03,Orb of Fusing,Chaos Orb,0.4084,High,15
Harvest,2020-07-04,Orb of Fusing,Chaos Orb,0.42594,High,16
Harvest,2020-07-05,Orb of Fusing,Chaos Orb,0.39978,High,17
Harvest,2020-07-06,Orb of Fusing,Chaos Orb,0.38689,High,18
Harvest,2020-07-07,Orb of Fusing,Chaos Orb,0.41022,High,19
Harvest,2020-07-08,Orb of Fusing,Chaos Orb,0.38887,High,20
Harvest,2020-07-09,Orb of Fusing,Chaos Orb,0.37067,High,21
Harvest,2020-07-10,Orb of Fusing,Chaos Orb,0.35643,High,22
Harvest,2020-07-11,Orb of Fusing,Chaos Orb,0.33333,High,23
Harvest,2020-07-12,Orb of Fusing,Chaos Orb,0.28667,High,24
Harvest,2020-07-13,Orb of Fusing,Chaos Orb,0.23874,High,25
Harvest,2020-07-14,Orb of Fusing,Chaos Orb,0.22633,High,26
Harvest,2020-07-15,Orb of Fusing,Chaos Orb,0.24707,High,27
Harvest,2020-07-16,Orb of Fusing,Chaos Orb,0.26206,High,28
Harvest,2020-07-17,Orb of Fusing,Chaos Orb,0.33333,High,29
Harvest,2020-07-18,Orb of Fusing,Chaos Orb,0.33333,High,30
Harvest,2020-07-19,Orb of Fusing,Chaos Orb,0.32258,High,31
Harvest,2020-07-20,Orb of Fusing,Chaos Orb,0.29412,High,32
Harvest,2020-07-21,Orb of Fusing,Chaos Orb,0.27812,High,33
Harvest,2020-07-22,Orb of Fusing,Chaos Orb,0.26316,High,34
Harvest,2020-07-23,Orb of Fusing,Chaos Orb,0.23804,High,35
Harvest,2020-07-24,Orb of Fusing,Chaos Orb,0.22174,High,36
Harvest,2020-07-25,Orb of Fusing,Chaos Orb,0.16628,High,37
Harvest,2020-07-26,Orb of Fusing,Chaos Orb,0.16006,High,38
Harvest,2020-07-27,Orb of Fusing,Chaos Orb,0.14399,High,39
Harvest,2020-07-28,Orb of Fusing,Chaos Orb,0.16667,High,40
Harvest,2020-07-29,Orb of Fusing,Chaos Orb,0.18333,High,41
Harvest,2020-07-30,Orb of Fusing,Chaos Orb,0.18973,High,42
Harvest,2020-07-31,Orb of Fusing,Chaos Orb,0.17291,High,43
Harvest,2020-08-01,Orb of Fusing,Chaos Orb,0.13281,High,44
Harvest,2020-08-02,Orb of Fusing,Chaos Orb,0.12336,High,45
Harvest,2020-08-03,Orb of Fusing,Chaos Orb,0.12658,High,46
Harvest,2020-08-04,Orb of Fusing,Chaos Orb,0.14286,High,47
Harvest,2020-08-05,Orb of Fusing,Chaos Orb,0.15759,High,48
Harvest,2020-08-06,Orb of Fusing,Chaos Orb,0.16056,High,49
Harvest,2020-08-07,Orb of Fusing,Chaos Orb,0.16431,High,50
Harvest,2020-08-08,Orb of Fusing,Chaos Orb,0.1409,High,51
Harvest,2020-08-09,Orb of Fusing,Chaos Orb,0.11622,High,52
Harvest,2020-08-10,Orb of Fusing,Chaos Orb,0.14286,High,53
Harvest,2020-08-11,Orb of Fusing,Chaos Orb,0.16397,High,54
Harvest,2020-08-12,Orb of Fusing,Chaos Orb,0.16667,High,55
Harvest,2020-08-13,Orb of Fusing,Chaos Orb,0.18182,High,56
Harvest,2020-08-14,Orb of Fusing,Chaos Orb,0.18555,High,57
Harvest,2020-08-15,Orb of Fusing,Chaos Orb,0.17531,High,58
Harvest,2020-08-16,Orb of Fusing,Chaos Orb,0.17504,High,59
Harvest,2020-08-17,Orb of Fusing,Chaos Orb,0.17333,High,60
Harvest,2020-08-18,Orb of Fusing,Chaos Orb,0.18903,High,61
Harvest,2020-08-19,Orb of Fusing,Chaos Orb,0.2,High,62
Harvest,2020-08-20,Orb of Fusing,Chaos Orb,0.2,High,63
Harvest,2020-08-21,Orb of Fusing,Chaos Orb,0.22222,High,64
Harvest,2020-08-22,Orb of Fusing,Chaos Orb,0.21277,High,65
Harvest,2020-08-23,Orb of Fusing,Chaos Orb,0.2,High,66
Harvest,2020-08-24,Orb of Fusing,Chaos Orb,0.2,High,67
Harvest,2020-08-25,Orb of Fusing,Chaos Orb,0.2,High,68
Harvest,2020-08-26,Orb of Fusing,Chaos Orb,0.19265,High,69
Harvest,2020-08-27,Orb of Fusing,Chaos Orb,0.21124,High,70
Harvest,2020-08-28,Orb of Fusing,Chaos Orb,0.2,High,71
Harvest,2020-08-29,Orb of Fusing,Chaos Orb,0.20069,High,72
Harvest,2020-08-30,Orb of Fusing,Chaos Orb,0.20828,High,73
Harvest,2020-08-31,Orb of Fusing,Chaos Orb,0.20833,High,74
Harvest,2020-09-01,Orb of Fusing,Chaos Orb,0.21351,High,75
Harvest,2020-09-02,Orb of Fusing,Chaos Orb,0.22222,High,76
Harvest,2020-09-03,Orb of Fusing,Chaos Orb,0.22834,High,77
Harvest,2020-09-04,Orb of Fusing,Chaos Orb,0.23325,High,78
Harvest,2020-09-05,Orb of Fusing,Chaos Orb,0.2439,High,79
Harvest,2020-09-06,Orb of Fusing,Chaos Orb,0.25,High,80
Harvest,2020-09-07,Orb of Fusing,Chaos Orb,0.27005,High,81
Harvest,2020-09-08,Orb of Fusing,Chaos Orb,0.28842,High,82
Harvest,2020-09-09,Orb of Fusing,Chaos Orb,0.28571,High,83
Harvest,2020-09-10,Orb of Fusing,Chaos Orb,0.31798,High,84
Harvest,2020-09-11,Orb of Fusing,Chaos Orb,0.28767,High,85
Harvest,2020-09-12,Orb of Fusing,Chaos Orb,0.32258,High,86
Harvest,2020-09-13,Orb of Fusing,Chaos Orb,0.33152,High,87
Harvest,2020-09-14,Orb of Fusing,Chaos Orb,0.33152,High,88
Harvest,2020-06-19,Armourer's Scrap,Chaos Orb,0.22433,High,1
Harvest,2020-06-20,Armourer's Scrap,Chaos Orb,0.0429,High,2
Harvest,2020-06-21,Armourer's Scrap,Chaos Orb,0.03448,High,3
Harvest,2020-06-22,Armourer's Scrap,Chaos Orb,0.03333,High,4
Harvest,2020-06-23,Armourer's Scrap,Chaos Orb,0.04826,High,5
Harvest,2020-06-24,Armourer's Scrap,Chaos Orb,0.05807,High,6
Harvest,2020-06-25,Armourer's Scrap,Chaos Orb,0.05786,High,7
Harvest,2020-06-26,Armourer's Scrap,Chaos Orb,0.0625,High,8
Harvest,2020-06-27,Armourer's Scrap,Chaos Orb,0.06667,High,9
Harvest,2020-06-28,Armourer's Scrap,Chaos Orb,0.06664,High,10
Harvest,2020-06-29,Armourer's Scrap,Chaos Orb,0.05983,High,11
Harvest,2020-06-30,Armourer's Scrap,Chaos Orb,0.06224,High,12
Harvest,2020-07-01,Armourer's Scrap,Chaos Orb,0.06452,High,13
