League,Date,Get,Pay,Value,Confidence,daysIntoLeague
Heist,2020-09-18,Jeweller's Orb,Chaos Orb,1.0,High,1
Heist,2020-09-19,Jeweller's Orb,Chaos Orb,0.05882,High,2
Heist,2020-09-20,Jeweller's Orb,Chaos Orb,0.06667,High,3
Heist,2020-09-21,Jeweller's Orb,Chaos Orb,0.08333,High,4
Heist,2020-09-22,Jeweller's Orb,Chaos Orb,0.09773,High,5
Heist,2020-09-23,Jeweller's Orb,Chaos Orb,0.10562,High,6
Heist,2020-09-24,Jeweller's Orb,Chaos Orb,0.10501,High,7
Heist,2020-09-25,Jeweller's Orb,Chaos Orb,0.1018,High,8
Heist,2020-09-26,Jeweller's Orb,Chaos Orb,0.1,High,9
Heist,2020-09-27,Jeweller's Orb,Chaos Orb,0.09091,High,10
Heist,2020-09-28,Jeweller's Orb,Chaos Orb,0.08333,High,11
Heist,2020-09-29,Jeweller's Orb,Chaos Orb,0.09091,High,12
Heist,2020-09-30,Jeweller's Orb,Chaos Orb,0.09009,High,13
Heist,2020-10-01,Jeweller's Orb,Chaos Orb,0.08353,High,14
Heist,2020-10-02,Jeweller's Orb,Chaos Orb,0.08296,High,15
Heist,2020-10-03,Jeweller's Orb,Chaos Orb,0.07033,High,16
Heist,2020-10-04,Jeweller's Orb,Chaos Orb,0.06571,High,17
Heist,2020-10-05,Jeweller's Orb,Chaos Orb,0.06658,High,18
Heist,2020-10-06,Jeweller's Orb,Chaos Orb,0.06667,High,19
Heist,2020-10-07,Jeweller's Orb,Chaos Orb,0.06667,High,20
Heist,2020-10-08,Jeweller's Orb,Chaos Orb,0.06663,High,21
Heist,2020-10-09,Jeweller's Orb,Chaos Orb,0.06622,High,22
Heist,2020-10-10,Jeweller's Orb,Chaos Orb,0.06301,High,23
Heist,2020-10-11,Jeweller's Orb,Chaos Orb,0.06436,High,24
Heist,2020-10-12,Jeweller's Orb,Chaos Orb,0.06667,High,25
Heist,2020-10-13,Jeweller's Orb,Chaos Orb,0.06604,High,26
Heist,2020-10-14,Jeweller's Orb,Chaos Orb,0.06628,High,27
Heist,2020-10-15,Jeweller's Orb,Chaos Orb,0.06662,High,28
