League,Date,Get,Pay,Value,Confidence,daysIntoLeague
Metamorph,2019-12-13,Chromatic Orb,Chaos Orb,0.12211,High,1
Metamorph,2019-12-14,Chromatic Orb,Chaos Orb,0.07119,High,2
Metamorph,2019-12-15,Chromatic Orb,Chaos Orb,0.11111,High,3
Metamorph,2019-12-16,Chromatic Orb,Chaos Orb,0.11765,High,4
Metamorph,2019-12-17,Chromatic Orb,Chaos Orb,0.10989,High,5
Metamorph,2019-12-18,Chromatic Orb,Chaos Orb,0.13222,High,6
Metamorph,2019-12-19,Chromatic Orb,Chaos Orb,0.12331,High,7
Metamorph,2019-12-20,Chromatic Orb,Chaos Orb,0.13444,High,8
Metamorph,2019-12-21,Chromatic Orb,Chaos Orb,0.15,High,9
Metamorph,2019-12-22,Chromatic Orb,Chaos Orb,0.14698,High,10
Metamorph,2019-12-23,Chromatic Orb,Chaos Orb,0.14085,High,11
Metamorph,2019-12-24,Chromatic Orb,Chaos Orb,0.14286,High,12
Metamorph,2019-12-25,Chromatic Orb,Chaos Orb,0.14286,High,13
Metamorph,2019-12-26,Chromatic Orb,Chaos Orb,0.1387,High,14
Metamorph,2019-12-27,Chromatic Orb,Chaos Orb,0.12779,High,15
Metamorph,2019-12-28,Chromatic Orb,Chaos Orb,0.12727,High,16
Metamorph,2019-12-29,Chromatic Orb,Chaos Orb,0.13636,High,17
Metamorph,2019-12-30,Chromatic Orb,Chaos Orb,0.14281,High,18
Metamorph,2019-12-31,Chromatic Orb,Chaos Orb,0.15,High,19
Metamorph,2020-01-01,Chromatic Orb,Chaos Orb,0.15873,High,20
Metamorph,2020-01-02,Chromatic Orb,Chaos Orb,0.15762,High,21
Metamorph,2020-01-03,Chromatic Orb,Chaos Orb,0.1453,High,22
Metamorph,2020-01-04,Chromatic Orb,Chaos Orb,0.13889,High,23
Metamorph,2020-01-05,Chromatic Orb,Chaos Orb,0.14286,High,24
Metamorph,2020-01-06,Chromatic Orb,Chaos Orb,0.14085,High,25
Metamorph,2020-01-07,Chromatic Orb,Chaos Orb,0.13684,High,26
Metamorph,2020-01-08,Chromatic Orb,Chaos Orb,0.13248,High,27
Metamorph,2020-01-09,Chromatic Orb,Chaos Orb,0.12821,High,28
Metamorph,2020-01-10,Chromatic Orb,Chaos Orb,0.125,High,29
Metamorph,2020-01-11,Chromatic Orb,Chaos Orb,0.12195,High,30
Metamorph,2020-01-12,Chromatic Orb,Chaos Orb,0.11111,High,31
Metamorph,2020-01-13,Chromatic Orb,Chaos Orb,0.10862,High,32
Metamorph,2020-01-14,Chromatic Orb,Chaos Orb,0.09496,High,33
Metamorph,2020-01-15,Chromatic Orb,Chaos Orb,0.09709,High,34
Metamorph,2020-01-16,Chromatic Orb,Chaos Orb,0.09174,High,35
Metamorph,2020-01-17,Chromatic Orb,Chaos Orb,0.09756,High,36
Metamorph,2020-01-18,Chromatic Orb,Chaos Orb,0.10714,High,37
Metamorph,2020-01-19,Chromatic Orb,Chaos Orb,0.1087,High,38
Metamorph,2020-01-20,Chromatic Orb,Chaos Orb,0.10849,High,39
Metamorph,2020-01-21,Chromatic Orb,Chaos Orb,0.1087,High,40
Metamorph,2020-01-22,Chromatic Orb,Chaos Orb,0.11111,High,41
Metamorph,2020-01-23,Chromatic Orb,Chaos Orb,0.11661,High,42
Metamorph,2020-01-24,Chromatic Orb,Chaos Orb,0.13333,High,43
Metamorph,2020-01-25,Chromatic Orb,Chaos Orb,0.16943,High,44
Metamorph,2020-01-26,Chromatic Orb,Chaos Orb,0.16667,High,45
Metamorph,2020-01-27,Chromatic Orb,Chaos Orb,0.14669,High,46
Metamorph,2020-01-28,Chromatic Orb,Chaos Orb,0.13762,High,47
Metamorph,2020-01-29,Chromatic Orb,Chaos Orb,0.13697,High,48
Metamorph,2020-01-30,Chromatic Orb,Chaos Orb,0.12821,High,49
Metamorph,2020-01-31,Chromatic Orb,Chaos Orb,0.12142,High,50
Metamorph,2020-02-01,Chromatic Orb,Chaos Orb,0.12148,High,51
Metamorph,2020-02-02,Chromatic Orb,Chaos Orb,0.12374,High,52
Metamorph,2020-02-03,Chromatic Orb,Chaos Orb,0.11392,High,53
Metamorph,2020-02-04,Chromatic Orb,Chaos Orb,0.10833,High,54
Metamorph,2020-02-05,Chromatic Orb,Chaos Orb,0.12572,High,55
Metamorph,2020-02-06,Chromatic Orb,Chaos Orb,0.13581,High,56
Metamorph,2020-02-07,Chromatic Orb,Chaos Orb,0.13213,High,57
Metamorph,2020-02-08,Chromatic Orb,Chaos Orb,0.12488,High,58
Metamorph,2020-02-09,Chromatic Orb,Chaos Orb,0.11882,High,59
Metamorph,2020-02-10,Chromatic Orb,Chaos Orb,0.10989,High,60
Metamorph,2020-02-11,Chromatic Orb,Chaos Orb,0.10101,High,61
Metamorph,2020-02-12,Chromatic Orb,Chaos Orb,0.09091,High,62
Metamorph,2020-02-13,Chromatic Orb,Chaos Orb,0.09244,High,63
Metamorph,2020-02-14,Chromatic Orb,Chaos Orb,0.11905,High,64
Metamorph,2020-02-15,Chromatic Orb,Chaos Orb,0.15407,High,65
Metamorph,2020-02-16,Chromatic Orb,Chaos Orb,0.19982,High,66
Metamorph,2020-02-17,Chromatic Orb,Chaos Orb,0.19702,High,67
Metamorph,2020-02-18,Chromatic Orb,Chaos Orb,0.2,High,68
Metamorph,2020-02-19,Chromatic Orb,Chaos Orb,0.19183,High,69
Metamorph,2020-02-20,Chromatic Orb,Chaos Orb,0.16667,High,70
Metamorph,2020-02-21,Chromatic Orb,Chaos Orb,0.15873,High,71
Metamorph,2020-02-22,Chromatic Orb,Chaos Orb,0.16574,High,72
Metamorph,2020-02-23,Chromatic Orb,Chaos Orb,0.15811,High,73
Metamorph,2020-02-24,Chromatic Orb,Chaos Orb,0.15823,High,74
Metamorph,2020-02-25,Chromatic Orb,Chaos Orb,0.15385,High,75
Metamorph,2020-02-26,Chromatic Orb,Chaos Orb,0.15846,High,76
Metamorph,2020-02-27,Chromatic Orb,Chaos Orb,0.1641,High,77
Metamorph,2020-02-28,Chromatic Orb,Chaos Orb,0.14493,High,78
Metamorph,2020-02-29,Chromatic Orb,Chaos Orb,0.13514,High,79
Metamorph,2020-03-01,Chromatic Orb,Chaos Orb,0.13262,High,80
Metamorph,2020-03-02,Chromatic Orb,Chaos Orb,0.12384,High,81
Metamorph,2020-03-03,Chromatic Orb,Chaos Orb,0.11765,High,83
Metamorph,2020-03-04,Chromatic Orb,Chaos Orb,0.11111,High,84
Metamorph,2020-03-05,Chromatic Orb,Chaos Orb,0.11916,High,85
Metamorph,2020-03-06,Chromatic Orb,Chaos Orb,0.12254,High,86
Metamorph,2020-03-07,Chromatic Orb,Chaos Orb,0.12195,High,87
Metamorph,2020-03-08,Chromatic Orb,Chaos Orb,0.12346,High,88
Metamorph,2020-03-09,Chromatic Orb,Chaos Orb,0.12487,High,89
Metamorph,2019-12-13,Orb of Fusing,Chaos Orb,0.5,High,1
Metamorph,2019-12-14,Orb of Fusing,Chaos Orb,0.22719,High,2
Metamorph,2019-12-15,Orb of Fusing,Chaos Orb,0.33333,High,3
Metamorph,2019-12-16,Orb of Fusing,Chaos Orb,0.43478,High,4
Metamorph,2019-12-17,Orb of Fusing,Chaos Orb,0.5,High,5
Metamorph,2019-12-18,Orb of Fusing,Chaos Orb,0.52632,High,6
Metamorph,2019-12-19,Orb of Fusing,Chaos Orb,0.5697,High,7
Metamorph,2019-12-20,Orb of Fusing,Chaos Orb,0.63158,High,8
Metamorph,2019-12-21,Orb of Fusing,Chaos Orb,0.64426,High,9
Metamorph,2019-12-22,Orb of Fusing,Chaos Orb,0.63152,High,10
Metamorph,2019-12-23,Orb of Fusing,Chaos Orb,0.63562,High,11
Metamorph,2019-12-24,Orb of Fusing,Chaos Orb,0.65,High,12
Metamorph,2019-12-25,Orb of Fusing,Chaos Orb,0.66667,High,13
Metamorph,2019-12-26,Orb of Fusing,Chaos Orb,0.64286,High,14
