League,Date,Get,Pay,Value,Confidence,daysIntoLeague
Ritual,2021-01-15,Orb of Alteration,Chaos Orb,0.08783,High,1
Ritual,2021-01-16,Orb of Alteration,Chaos Orb,0.06667,High,2
Ritual,2021-01-17,Orb of Alteration,Chaos Orb,0.07997,High,3
Ritual,2021-01-18,Orb of Alteration,Chaos Orb,0.13562,High,4
Ritual,2021-01-19,Orb of Alteration,Chaos Orb,0.16667,High,5
Ritual,2021-01-20,Orb of Alteration,Chaos Orb,0.13082,High,6
Ritual,2021-01-21,Orb of Alteration,Chaos Orb,0.14286,High,7
Ritual,2021-01-22,Orb of Alteration,Chaos Orb,0.23942,High,8
Ritual,2021-01-23,Orb of Alteration,Chaos Orb,0.26316,High,9
Ritual,2021-01-24,Orb of Alteration,Chaos Orb,0.26316,High,10
Ritual,2021-01-25,Orb of Alteration,Chaos Orb,0.25643,High,11
Ritual,2021-01-26,Orb of Alteration,Chaos Orb,0.26068,High,12
Ritual,2021-01-27,Orb of Alteration,Chaos Orb,0.26316,High,13
Ritual,2021-01-28,Orb of Alteration,Chaos Orb,0.26249,High,14
Ritual,2021-01-29,Orb of Alteration,Chaos Orb,0.27254,High,15
Ritual,2021-01-30,Orb of Alteration,Chaos Orb,0.27026,High,16
Ritual,2021-01-31,Orb of Alteration,Chaos Orb,0.26985,High,17
Ritual,2021-02-01,Orb of Alteration,Chaos Orb,0.27778,High,18
Ritual,2021-02-02,Orb of Alteration,Chaos Orb,0.27778,High,19
Ritual,2021-02-03,Orb of Alteration,Chaos Orb,0.28571,High,20
Ritual,2021-02-04,Orb of Alteration,Chaos Orb,0.28571,High,21
Ritual,2021-02-05,Orb of Alteration,Chaos Orb,0.28571,High,22
Ritual,2021-02-06,Orb of Alteration,Chaos Orb,0.29289,High,23
Ritual,2021-02-07,Orb of Alteration,Chaos Orb,0.28571,High,24
Ritual,2021-02-08,Orb of Alteration,Chaos Orb,0.2909,High,25
Ritual,2021-02-09,Orb of Alteration,Chaos Orb,0.29803,High,26
Ritual,2021-02-10,Orb of Alteration,Chaos Orb,0.3312,High,27
Ritual,2021-02-11,Orb of Alteration,Chaos Orb,0.33188,High,28
Ritual,2021-02-12,Orb of Alteration,Chaos Orb,0.33313,High,29
Ritual,2021-02-13,Orb of Alteration,Chaos Orb,0.33333,High,30
Ritual,2021-02-14,Orb of Alteration,Chaos Orb,0.33333,High,31
Ritual,2021-02-15,Orb of Alteration,Chaos Orb,0.33333,High,32
Ritual,2021-02-16,Orb of Alteration,Chaos Orb,0.33333,High,33
Ritual,2021-02-17,Orb of Alteration,Chaos Orb,0.33333,High,34
Ritual,2021-02-18,Orb of Alteration,Chaos Orb,0.33333,High,35
Ritual,2021-02-19,Orb of Alteration,Chaos Orb,0.33333,High,36
Ritual,2021-02-20,Orb of Alteration,Chaos Orb,0.33333,High,37
